age,favorite,where_drink,additions,style,cups,roast_level,expertise,caffeine,strength,coffee_a_bitterness,coffee_a_personal_preference,coffee_b_bitterness,coffee_a_acidity,coffee_b_personal_preference,prefer_abc,prefer_overall,coffee_d_bitterness,coffee_b_acidity,coffee_c_personal_preference,coffee_d_acidity,coffee_d_personal_preference,coffee_c_bitterness,prefer_ad,coffee_c_acidity,brew,why_drink,taste,know_source,most_paid,wfh,gender,total_spend,most_willing,spent_equipment,value_cafe,value_equipment,education_level
55-64 years old,Cappuccino,At home,"Milk, dairy alternative, or coffee creamer, No - just black",Full Bodied,1,Dark,7.0,Decaf,Somewhat strong,1.0,1.0,3.0,4.0,3.0,Coffee C,Coffee C,2.0,3.0,4.0,5.0,2.0,4.0,Coffee D,2.0,"Pour over, French press, Espresso","It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$4-$6,I do a mix of both,Male,<$20,$2-$4,$50-$100,No,Yes,Master's degree
35-44 years old,Pourover,"At home, At a cafe","Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Floral,2,Medium,5.0,Full caffeine,Somewhat strong,1.0,2.0,3.0,4.0,4.0,Coffee B,Coffee D,2.0,3.0,3.0,4.0,5.0,2.0,Coffee D,3.0,"Pour over, French press, Cold brew","It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,I primarily work from home,Male,$40-$60,$15-$20,$300-$500,Yes,Yes,Bachelor's degree
35-44 years old,Mocha,"At home, At a cafe","Milk, dairy alternative, or coffee creamer, Flavor syrup",Chocolatey,1,Medium,3.0,Decaf,Medium,1.0,1.0,2.0,4.0,2.0,Coffee C,Coffee D,1.0,3.0,3.0,1.0,4.0,3.0,Coffee D,2.0,Espresso,"It tastes good, I need the caffeine, I need the ritual",No,No,$6-$8,I do a mix of both,Female,$40-$60,$8-$10,$500-$1000,No,Yes,Bachelor's degree
25-34 years old,Pourover,"At home, At the office",No - just black,Fruity,More than 4,Nordic,8.0,Full caffeine,Medium,2.0,5.0,4.0,4.0,3.0,Coffee A,Coffee A,1.0,2.0,2.0,5.0,4.0,5.0,Coffee A,1.0,Pour over,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,I primarily work in person,Male,$60-$80,$4-$6,$100-$300,Yes,Yes,Doctorate or professional degree
25-34 years old,Cappuccino,"At home, At a cafe","Milk, dairy alternative, or coffee creamer, No - just black",Floral,2,Light,8.0,Full caffeine,Somewhat strong,1.0,4.0,3.0,4.0,3.0,Coffee A,Coffee D,3.0,2.0,1.0,4.0,5.0,4.0,Coffee D,2.0,"Espresso, Pour over","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,I primarily work from home,Male,$20-$40,More than $20,"More than $1,000",No,Yes,Bachelor's degree
25-34 years old,Pourover,"At home, At the office, At a cafe",No - just black,Fruity,3,Light,8.0,Full caffeine,Somewhat strong,3.0,4.0,4.0,4.0,2.0,Coffee A,Coffee D,2.0,3.0,3.0,5.0,5.0,4.0,Coffee D,4.0,"Pour over, French press, Other","It tastes good, I need the caffeine",Yes,Yes,$6-$8,I primarily work from home,Male,$20-$40,$6-$8,$500-$1000,No,Yes,Bachelor's degree
18-24 years old,Americano,"At the office, At home, At a cafe",No - just black,Floral,1,Light,8.0,Full caffeine,Somewhat strong,2.0,3.0,2.0,4.0,3.0,Coffee A,Coffee D,3.0,2.0,2.0,3.0,4.0,4.0,Coffee D,3.0,"Pour over, Espresso","It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$15-$20,I primarily work in person,Male,$20-$40,More than $20,$500-$1000,No,Yes,Bachelor's degree
35-44 years old,Regular drip coffee,"At home, At the office","Milk, dairy alternative, or coffee creamer",Chocolatey,4,Medium,5.0,Full caffeine,Medium,3.0,4.0,3.0,2.0,1.0,Coffee C,Coffee C,3.0,4.0,5.0,2.0,4.0,4.0,Coffee A,2.0,Coffee brewing machine (e.g. Mr. Coffee),"It tastes good, I need the caffeine",Yes,Yes,$6-$8,I do a mix of both,Male,$20-$40,$8-$10,$300-$500,No,Yes,Some college or associate's degree
45-54 years old,Regular drip coffee,"At home, At the office, On the go",No - just black,Bold,2,Medium,7.0,Full caffeine,Somewhat strong,2.0,3.0,3.0,3.0,4.0,Coffee C,Coffee C,3.0,1.0,5.0,4.0,2.0,3.0,Coffee A,3.0,Pod/capsule machine (e.g. Keurig/Nespresso),"It tastes good, I need the caffeine, I need the ritual",Yes,No,$2-$4,I do a mix of both,Male,$40-$60,$4-$6,$100-$300,Yes,No,Bachelor's degree
25-34 years old,Cappuccino,At home,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Sweet,2,Light,9.0,Full caffeine,Somewhat strong,2.0,4.0,3.0,4.0,3.0,Coffee A,Coffee D,1.0,3.0,1.0,3.0,5.0,4.0,Coffee D,1.0,"Pour over, French press, Espresso",It tastes good,Yes,Yes,$10-$15,I primarily work from home,Male,$20-$40,More than $20,"More than $1,000",No,Yes,Bachelor's degree
35-44 years old,Espresso,At home,No - just black,Bright,1,Light,7.0,Full caffeine,Somewhat strong,3.0,4.0,4.0,5.0,2.0,Coffee A,Coffee D,1.0,1.0,3.0,4.0,5.0,5.0,Coffee D,2.0,Espresso,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Male,$20-$40,More than $20,$500-$1000,No,Yes,Doctorate or professional degree
25-34 years old,Regular drip coffee,At home,"Milk, dairy alternative, or coffee creamer",Caramalized,2,Light,4.0,Full caffeine,Medium,1.0,3.0,2.0,4.0,4.0,Coffee C,Coffee C,3.0,2.0,5.0,3.0,1.0,2.0,Coffee A,1.0,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew","I need the caffeine, It makes me go to the bathroom, It tastes good",Yes,Yes,$4-$6,I primarily work from home,Male,$20-$40,$4-$6,$100-$300,No,Yes,Bachelor's degree
35-44 years old,Iced coffee,"At home, At a cafe","Milk, dairy alternative, or coffee creamer",Chocolatey,1,Medium,5.0,Full caffeine,Medium,3.0,5.0,2.0,1.0,4.0,Coffee A,Coffee A,1.0,2.0,1.0,5.0,3.0,4.0,Coffee A,3.0,Cold brew,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Female,$40-$60,$8-$10,Less than $20,Yes,Yes,Bachelor's degree
25-34 years old,Pourover,"At home, At a cafe",No - just black,Juicy,2,Light,7.0,Full caffeine,Very strong,2.0,3.0,5.0,4.0,2.0,Coffee C,Coffee D,1.0,2.0,4.0,5.0,5.0,3.0,Coffee D,4.0,"Pour over, French press, Instant coffee, Cold brew, Other",It tastes good,Yes,Yes,$10-$15,I primarily work from home,Male,$40-$60,More than $20,$500-$1000,Yes,Yes,Bachelor's degree
25-34 years old,Latte,"At home, On the go, At the office","Milk, dairy alternative, or coffee creamer",Chocolatey,1,Medium,6.0,Full caffeine,Medium,2.0,1.0,3.0,5.0,4.0,Coffee B,Coffee B,3.0,2.0,3.0,4.0,2.0,4.0,Coffee D,2.0,"Espresso, French press","It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,I primarily work from home,Non-binary,$20-$40,$10-$15,$500-$1000,No,Yes,Master's degree
45-54 years old,Americano,"At home, At the office",No - just black,Chocolatey,More than 4,French,6.0,Full caffeine,Somewhat strong,4.0,3.0,2.0,3.0,4.0,Coffee C,Coffee C,4.0,1.0,5.0,3.0,2.0,1.0,Coffee A,1.0,Bean-to-cup machine,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,I do a mix of both,Male,$20-$40,$8-$10,$50-$100,No,Yes,Master's degree
25-34 years old,Pourover,"At home, At a cafe",No - just black,Caramalized,3,Medium,7.0,Full caffeine,Somewhat strong,3.0,4.0,2.0,4.0,3.0,Coffee C,Coffee C,1.0,2.0,4.0,4.0,2.0,3.0,Coffee A,3.0,"Pour over, French press","It tastes good, I need the ritual",Yes,Yes,$15-$20,I primarily work from home,Male,$20-$40,$10-$15,$100-$300,Yes,Yes,Master's degree
25-34 years old,Latte,"At the office, At home, At a cafe","Milk, dairy alternative, or coffee creamer",Full Bodied,2,Light,3.0,Full caffeine,Medium,3.0,4.0,2.0,4.0,3.0,Coffee C,Coffee C,3.0,2.0,5.0,3.0,2.0,1.0,Coffee A,1.0,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew","It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$8-$10,I primarily work in person,Female,$40-$60,$10-$15,$100-$300,No,Yes,Doctorate or professional degree
55-64 years old,Other,"At home, At the office, On the go","Milk, dairy alternative, or coffee creamer",Sweet,2,Blonde,2.0,Full caffeine,Somewhat light,2.0,1.0,1.0,2.0,3.0,Coffee C,Coffee C,1.0,3.0,5.0,4.0,4.0,2.0,Coffee D,3.0,"Other, Pour over","I need the caffeine, It tastes good",Yes,No,$6-$8,I do a mix of both,Male,$80-$100,$6-$8,$100-$300,Yes,Yes,Master's degree
18-24 years old,Iced coffee,At home,No - just black,Bright,1,Light,4.0,Full caffeine,Somewhat light,3.0,4.0,4.0,3.0,1.0,Coffee A,Coffee D,1.0,1.0,3.0,5.0,5.0,3.0,Coffee D,3.0,Pour over,"It tastes good, I need the ritual",Yes,Yes,$4-$6,I primarily work in person,Male,$20-$40,$6-$8,$100-$300,No,Yes,Some college or associate's degree
55-64 years old,Americano,"At home, At the office","Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",Nutty,3,Light,7.0,Full caffeine,Somewhat strong,1.0,5.0,2.0,2.0,3.0,Coffee A,Coffee A,4.0,1.0,3.0,3.0,1.0,3.0,Coffee A,3.0,"Bean-to-cup machine, Cold brew",It tastes good,Yes,Yes,$10-$15,I primarily work from home,Female,$60-$80,$15-$20,"More than $1,000",No,Yes,Master's degree
45-54 years old,Regular drip coffee,"At the office, At home",No - just black,Bright,4,Light,7.0,Full caffeine,Somewhat strong,2.0,5.0,2.0,5.0,3.0,Coffee A,Coffee A,5.0,2.0,1.0,4.0,4.0,4.0,Coffee A,2.0,Pour over,"It tastes good, I need the caffeine",Yes,Yes,$15-$20,I do a mix of both,Male,$40-$60,$15-$20,$500-$1000,No,Yes,Master's degree
55-64 years old,Pourover,"At the office, At home, At a cafe",No - just black,Full Bodied,3,Medium,7.0,Full caffeine,Somewhat strong,3.0,2.0,4.0,4.0,4.0,Coffee C,Coffee C,3.0,3.0,5.0,1.0,4.0,2.0,Coffee D,2.0,"Pour over, Other",It tastes good,Yes,Yes,$8-$10,I do a mix of both,Male,$20-$40,$8-$10,$50-$100,Yes,Yes,Bachelor's degree
35-44 years old,Regular drip coffee,At home,No - just black,Bold,2,Dark,8.0,Full caffeine,Very strong,3.0,3.0,5.0,3.0,4.0,Coffee C,Coffee C,1.0,2.0,5.0,5.0,2.0,3.0,Coffee A,3.0,"Coffee brewing machine (e.g. Mr. Coffee), Pour over","It tastes good, I need the ritual",Yes,Yes,$6-$8,I primarily work from home,Female,$80-$100,$10-$15,$500-$1000,No,Yes,Bachelor's degree
18-24 years old,Latte,"On the go, At home","Milk, dairy alternative, or coffee creamer",Full Bodied,1,Medium,3.0,Full caffeine,Somewhat light,3.0,5.0,5.0,3.0,2.0,Coffee A,Coffee A,1.0,1.0,3.0,5.0,4.0,2.0,Coffee A,2.0,Bean-to-cup machine,"It tastes good, I need the ritual",Yes,No,$15-$20,I primarily work in person,Other (please specify),$60-$80,$8-$10,"More than $1,000",No,Yes,High school graduate
35-44 years old,Espresso,At home,No - just black,Full Bodied,2,Light,6.0,Full caffeine,Somewhat strong,3.0,5.0,2.0,5.0,2.0,Coffee A,Coffee A,4.0,2.0,3.0,3.0,4.0,3.0,Coffee A,3.0,"Pour over, Espresso","It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$10-$15,I primarily work from home,Male,$40-$60,More than $20,"More than $1,000",Yes,Yes,Bachelor's degree
<18 years old,Latte,At home,"Milk, dairy alternative, or coffee creamer",Fruity,2,Light,1.0,Full caffeine,Medium,2.0,5.0,4.0,5.0,3.0,Coffee A,Coffee A,2.0,4.0,2.0,3.0,4.0,2.0,Coffee A,2.0,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)","It tastes good, I need the caffeine",Yes,No,$6-$8,I primarily work in person,Male,$20-$40,$6-$8,Less than $20,Yes,Yes,Less than high school
55-64 years old,Espresso,At home,"Milk, dairy alternative, or coffee creamer",Full Bodied,3,Medium,7.0,Full caffeine,Very strong,1.0,4.0,2.0,3.0,4.0,Coffee C,Coffee C,5.0,1.0,5.0,3.0,1.0,4.0,Coffee A,2.0,Bean-to-cup machine,It tastes good,Yes,Yes,$10-$15,I primarily work from home,Male,$60-$80,$10-$15,$500-$1000,No,Yes,Bachelor's degree
45-54 years old,Latte,"At home, On the go, At a cafe","No - just black, Milk, dairy alternative, or coffee creamer",Caramalized,2,Medium,7.0,Full caffeine,Somewhat strong,3.0,2.0,4.0,4.0,4.0,Coffee B,Coffee B,1.0,1.0,4.0,5.0,1.0,3.0,Coffee A,2.0,"Coffee brewing machine (e.g. Mr. Coffee), Pour over","It tastes good, I need the caffeine",Yes,Yes,$10-$15,I primarily work from home,Male,$80-$100,$10-$15,$500-$1000,No,Yes,Some college or associate's degree
35-44 years old,Latte,"At home, At the office, On the go, At a cafe","Milk, dairy alternative, or coffee creamer",Caramalized,1,Medium,5.0,Half caff,Medium,2.0,3.0,2.0,4.0,3.0,Coffee C,Coffee C,4.0,2.0,4.0,4.0,3.0,3.0,Coffee A,4.0,"Coffee extract (e.g. Cometeer), Cold brew","It tastes good, Other",Yes,Yes,$8-$10,I primarily work from home,Female,>$100,$6-$8,$300-$500,Yes,Yes,Doctorate or professional degree
25-34 years old,Pourover,"At home, At the office",No - just black,Bright,2,Medium,8.0,Full caffeine,Somewhat strong,2.0,5.0,4.0,3.0,4.0,Coffee A,Coffee A,3.0,2.0,4.0,4.0,1.0,3.0,Coffee A,1.0,Pour over,"I need the caffeine, I need the ritual, It tastes good",Yes,Yes,$15-$20,I primarily work in person,Male,$40-$60,$8-$10,$300-$500,Yes,Yes,Doctorate or professional degree
25-34 years old,Pourover,At home,No - just black,Floral,2,Light,10.0,Full caffeine,Somewhat strong,5.0,1.0,4.0,2.0,3.0,Coffee C,Coffee D,3.0,3.0,3.0,5.0,4.0,2.0,Coffee D,3.0,"Pour over, Espresso","It tastes good, I need the ritual",Yes,Yes,$8-$10,I do a mix of both,Male,$20-$40,$10-$15,$500-$1000,Yes,Yes,Bachelor's degree
55-64 years old,Regular drip coffee,At home,"Milk, dairy alternative, or coffee creamer",Caramalized,2,Medium,6.0,Half caff,Somewhat strong,2.0,5.0,3.0,3.0,3.0,Coffee C,Coffee C,3.0,4.0,5.0,3.0,1.0,3.0,Coffee A,2.0,Other,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,I primarily work from home,Female,$40-$60,$6-$8,$300-$500,Yes,Yes,Bachelor's degree
35-44 years old,Blended drink (e.g. Frappuccino),At home,"Milk, dairy alternative, or coffee creamer, Flavor syrup, Other",Fruity,1,French,6.0,Half caff,Medium,2.0,2.0,3.0,2.0,4.0,Coffee B,Coffee B,4.0,2.0,3.0,4.0,1.0,3.0,Coffee A,3.0,Coffee brewing machine (e.g. Mr. Coffee),I need the caffeine,Yes,Yes,$8-$10,I primarily work from home,Female,<$20,$6-$8,Less than $20,Yes,Yes,Bachelor's degree
45-54 years old,Cappuccino,At home,"Milk, dairy alternative, or coffee creamer",Chocolatey,4,Dark,6.0,Decaf,Very strong,2.0,3.0,4.0,5.0,5.0,Coffee B,Coffee B,2.0,2.0,4.0,5.0,1.0,4.0,Coffee A,3.0,"Espresso, Pour over",It tastes good,Yes,Yes,$10-$15,I primarily work from home,Female,$40-$60,$10-$15,$100-$300,Yes,Yes,Doctorate or professional degree
25-34 years old,Pourover,"At home, At the office",No - just black,Fruity,2,Light,7.0,Full caffeine,Medium,1.0,4.0,4.0,5.0,2.0,Coffee A,Coffee D,1.0,2.0,2.0,4.0,5.0,3.0,Coffee D,1.0,Pour over,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,I do a mix of both,Male,$60-$80,More than $20,$100-$300,No,Yes,High school graduate
35-44 years old,Pourover,"At home, At a cafe",No - just black,Bright,1,Light,8.0,Full caffeine,Medium,2.0,4.0,3.0,4.0,3.0,Coffee A,Coffee D,2.0,3.0,3.0,3.0,4.0,4.0,Coffee D,3.0,Pour over,It tastes good,Yes,Yes,$8-$10,I primarily work from home,Male,$20-$40,$10-$15,$100-$300,Yes,Yes,Bachelor's degree
25-34 years old,Latte,"At a cafe, At home, On the go","Milk, dairy alternative, or coffee creamer",Full Bodied,1,Medium,5.0,Full caffeine,Medium,3.0,3.0,4.0,4.0,2.0,Coffee C,Coffee C,2.0,2.0,4.0,2.0,3.0,3.0,Coffee A,2.0,Espresso,It tastes good,Yes,Yes,$8-$10,I primarily work from home,Male,$60-$80,$10-$15,$20-$50,Yes,No,Bachelor's degree
25-34 years old,Mocha,"At a cafe, At home","Milk, dairy alternative, or coffee creamer",Chocolatey,2,Dark,7.0,Full caffeine,Somewhat strong,2.0,2.0,4.0,5.0,4.0,Coffee B,Coffee B,2.0,3.0,4.0,5.0,1.0,3.0,Coffee A,3.0,"Pour over, Espresso","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,I primarily work in person,Male,$20-$40,$10-$15,$300-$500,No,Yes,Bachelor's degree
55-64 years old,Regular drip coffee,At home,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Bright,4,Medium,5.0,Full caffeine,Somewhat light,4.0,3.0,3.0,2.0,3.0,Coffee C,Coffee C,3.0,1.0,4.0,2.0,2.0,3.0,Coffee A,2.0,Coffee brewing machine (e.g. Mr. Coffee),I need the caffeine,Yes,Yes,$8-$10,I primarily work from home,Male,$20-$40,$8-$10,$20-$50,Yes,Yes,Bachelor's degree
25-34 years old,Regular drip coffee,At home,No - just black,Floral,1,Light,6.0,Full caffeine,Medium,5.0,3.0,2.0,1.0,5.0,Coffee B,Coffee B,1.0,2.0,4.0,5.0,3.0,1.0,Coffee D,1.0,Pour over,It tastes good,Yes,Yes,$10-$15,I primarily work from home,Male,$40-$60,$15-$20,$300-$500,Yes,Yes,Bachelor's degree
25-34 years old,Americano,"At home, At the office, On the go, At a cafe",No - just black,Chocolatey,2,Medium,7.0,Full caffeine,Medium,2.0,3.0,4.0,4.0,3.0,Coffee C,Coffee C,2.0,1.0,4.0,3.0,3.0,4.0,Coffee D,3.0,"Espresso, Coffee extract (e.g. Cometeer)","It tastes good, It makes me go to the bathroom",Yes,Yes,$4-$6,I primarily work from home,Male,$20-$40,$6-$8,"More than $1,000",Yes,Yes,Doctorate or professional degree
25-34 years old,Cappuccino,"At home, On the go, At the office","Milk, dairy alternative, or coffee creamer",Chocolatey,1,Medium,4.0,Full caffeine,Somewhat strong,3.0,1.0,3.0,4.0,2.0,Coffee C,Coffee D,4.0,3.0,4.0,4.0,2.0,2.0,Coffee A,2.0,"French press, Other","I need the caffeine, It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,I do a mix of both,Male,$20-$40,$6-$8,$100-$300,No,Yes,Bachelor's degree
18-24 years old,Latte,"At home, On the go, At the office","Milk, dairy alternative, or coffee creamer",Chocolatey,1,Medium,7.0,Full caffeine,Somewhat strong,1.0,1.0,3.0,5.0,3.0,Coffee C,Coffee C,2.0,3.0,4.0,4.0,3.0,3.0,Coffee D,2.0,"French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew","It tastes good, I need the ritual",Yes,Yes,$6-$8,I primarily work in person,Female,$40-$60,$8-$10,$100-$300,No,Yes,Some college or associate's degree
25-34 years old,Cortado,"At the office, At home","Milk, dairy alternative, or coffee creamer",Chocolatey,4,Dark,7.0,Half caff,Somewhat strong,3.0,2.0,3.0,5.0,5.0,Coffee B,Coffee B,2.0,2.0,2.0,4.0,4.0,3.0,Coffee D,4.0,"Espresso, Cold brew","I need the ritual, It tastes good",Yes,Yes,$15-$20,I primarily work in person,Female,>$100,$15-$20,"More than $1,000",No,Yes,Doctorate or professional degree
25-34 years old,Latte,"At a cafe, At home, On the go","Milk, dairy alternative, or coffee creamer, Flavor syrup",Nutty,Less than 1,Medium,7.0,Full caffeine,Medium,4.0,1.0,2.0,3.0,2.0,Coffee C,Coffee C,2.0,4.0,4.0,4.0,3.0,3.0,Coffee D,3.0,Espresso,It tastes good,Yes,Yes,$8-$10,I primarily work from home,Female,$60-$80,$10-$15,$500-$1000,No,Yes,Master's degree
25-34 years old,Americano,At home,No - just black,Chocolatey,2,Dark,4.0,Full caffeine,Somewhat strong,1.0,3.0,5.0,5.0,4.0,Coffee B,Coffee D,2.0,1.0,2.0,2.0,5.0,3.0,Coffee D,3.0,French press,It tastes good,Yes,Yes,$10-$15,I primarily work in person,Female,$80-$100,$15-$20,$50-$100,Yes,Yes,Some college or associate's degree
35-44 years old,Pourover,"At home, At a cafe",No - just black,Bright,1,Light,7.0,Full caffeine,Medium,2.0,5.0,4.0,4.0,4.0,Coffee A,Coffee A,3.0,3.0,3.0,5.0,1.0,4.0,Coffee A,2.0,"Espresso, Pour over, Other",I need the ritual,Yes,Yes,$8-$10,I primarily work in person,Male,$40-$60,$8-$10,$300-$500,Yes,Yes,Master's degree
35-44 years old,Cortado,At home,No - just black,Caramalized,2,Medium,6.0,Full caffeine,Somewhat strong,1.0,5.0,2.0,3.0,3.0,Coffee A,Coffee A,1.0,1.0,3.0,4.0,4.0,2.0,Coffee A,3.0,"Pour over, Cold brew, Pod/capsule machine (e.g. Keurig/Nespresso)","It tastes good, I need the caffeine",Yes,Yes,$4-$6,I primarily work from home,Male,$20-$40,$4-$6,$100-$300,Yes,Yes,Bachelor's degree
>65 years old,Regular drip coffee,At home,"Milk, dairy alternative, or coffee creamer",Chocolatey,2,Light,1.0,Full caffeine,Somewhat light,2.0,5.0,4.0,4.0,3.0,Coffee A,Coffee D,2.0,4.0,2.0,2.0,5.0,3.0,Coffee D,3.0,Coffee brewing machine (e.g. Mr. Coffee),It tastes good,Yes,Yes,$4-$6,I primarily work from home,Female,$40-$60,$6-$8,$100-$300,Yes,No,Master's degree
25-34 years old,Cortado,"At a cafe, At home",No - just black,Fruity,1,Medium,5.0,Full caffeine,Medium,1.0,4.0,4.0,2.0,4.0,Coffee B,Coffee D,2.0,3.0,2.0,5.0,4.0,3.0,Coffee D,2.0,"Pour over, Espresso","It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$10-$15,I primarily work from home,Female,$40-$60,$10-$15,$300-$500,Yes,Yes,Bachelor's degree
35-44 years old,Regular drip coffee,"At home, At a cafe, On the go",No - just black,Full Bodied,2,Light,4.0,Full caffeine,Somewhat strong,3.0,4.0,4.0,5.0,2.0,Coffee A,Coffee A,3.0,2.0,1.0,4.0,3.0,4.0,Coffee A,1.0,Other,"It tastes good, I need the ritual, I need the caffeine",Yes,No,$8-$10,I primarily work in person,Female,$40-$60,$8-$10,Less than $20,Yes,Yes,Doctorate or professional degree
25-34 years old,Latte,"At home, On the go, At the office","Milk, dairy alternative, or coffee creamer",Nutty,2,Light,8.0,Full caffeine,Medium,1.0,4.0,2.0,3.0,4.0,Coffee A,Coffee A,2.0,3.0,3.0,4.0,3.0,3.0,Coffee A,1.0,"Pour over, Cold brew, Instant coffee",It tastes good,Yes,No,$8-$10,I primarily work in person,Prefer not to say,$20-$40,$8-$10,$100-$300,No,Yes,Bachelor's degree
25-34 years old,Latte,"On the go, At home","Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Chocolatey,1,Dark,4.0,Full caffeine,Medium,1.0,1.0,4.0,3.0,4.0,Coffee B,Coffee B,1.0,2.0,3.0,4.0,1.0,2.0,Coffee A,2.0,Espresso,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$6-$8,I primarily work in person,Female,<$20,$10-$15,Less than $20,No,Yes,Bachelor's degree
35-44 years old,Pourover,At home,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Full Bodied,1,Medium,6.0,Full caffeine,Somewhat strong,1.0,3.0,2.0,3.0,4.0,Coffee B,Coffee B,1.0,2.0,3.0,4.0,2.0,3.0,Coffee A,2.0,"Pour over, Other","It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,I primarily work in person,Male,$20-$40,$8-$10,$300-$500,No,Yes,Bachelor's degree
25-34 years old,Other,"At home, On the go",No - just black,Floral,2,Light,7.0,Full caffeine,Somewhat strong,4.0,5.0,2.0,4.0,3.0,Coffee B,Coffee C,3.0,3.0,4.0,3.0,2.0,2.0,Coffee A,3.0,"Pour over, Espresso, Cold brew",It tastes good,Yes,Yes,$6-$8,I do a mix of both,Male,$40-$60,$6-$8,"More than $1,000",Yes,Yes,Bachelor's degree
35-44 years old,Cortado,At home,No - just black,Full Bodied,2,Medium,6.0,Full caffeine,Somewhat strong,2.0,3.0,3.0,4.0,2.0,Coffee C,Coffee D,4.0,3.0,4.0,4.0,5.0,4.0,Coffee D,2.0,"Pour over, Espresso, French press",It tastes good,Yes,Yes,$6-$8,I do a mix of both,Male,$60-$80,$10-$15,"More than $1,000",No,Yes,Master's degree
25-34 years old,Other,At home,"Milk, dairy alternative, or coffee creamer",Chocolatey,Less than 1,Dark,8.0,Full caffeine,Somewhat strong,4.0,5.0,2.0,5.0,2.0,Coffee A,Coffee A,5.0,4.0,4.0,3.0,1.0,3.0,Coffee A,4.0,Espresso,It tastes good,Yes,Yes,$8-$10,I primarily work in person,Male,$20-$40,More than $20,$300-$500,No,Yes,Some college or associate's degree
35-44 years old,Pourover,At home,"No - just black, Milk, dairy alternative, or coffee creamer",Sweet,4,Light,7.0,Full caffeine,Medium,2.0,5.0,1.0,5.0,3.0,Coffee A,Coffee A,2.0,2.0,2.0,4.0,4.0,4.0,Coffee A,1.0,"Pour over, Espresso","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,More than $20,I do a mix of both,Male,$40-$60,More than $20,"More than $1,000",Yes,Yes,Master's degree
55-64 years old,Pourover,At home,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Full Bodied,2,Medium,7.0,Full caffeine,Somewhat strong,3.0,3.0,3.0,3.0,2.0,Coffee C,Coffee D,3.0,3.0,4.0,3.0,1.0,3.0,Coffee A,3.0,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",It tastes good,Yes,Yes,$6-$8,I primarily work from home,Male,$20-$40,$10-$15,$100-$300,No,Yes,Bachelor's degree
35-44 years old,Pourover,"At home, On the go",No - just black,Bright,2,Light,7.0,Full caffeine,Somewhat strong,2.0,4.0,1.0,4.0,2.0,Coffee A,Coffee D,2.0,1.0,2.0,3.0,5.0,3.0,Coffee D,1.0,Pour over,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,I primarily work from home,Male,$40-$60,$8-$10,$50-$100,Yes,Yes,Master's degree
25-34 years old,Cortado,At home,No - just black,Fruity,2,Light,8.0,Full caffeine,Somewhat strong,2.0,4.0,4.0,4.0,2.0,Coffee A,Coffee D,1.0,3.0,1.0,4.0,5.0,4.0,Coffee D,1.0,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)","It tastes good, I need the caffeine",Yes,Yes,$8-$10,I primarily work in person,Male,$60-$80,$15-$20,$500-$1000,No,Yes,Master's degree
